"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 26 11:08:59 BRT 2023","Thu Jan 26 11:09:07 BRT 2023","8177","EVEX7 test","Menu ações","","","","Cadastro - Consultor - Meta Comercial - Ação Editar - Bruno Mendes Leite",""
"passed","Thu Jan 26 11:03:45 BRT 2023","Thu Jan 26 11:03:57 BRT 2023","11153","EVEX7 test","Menu Ações","","","","Controle de Leads - Atribuir/Trocar Atendente",""
"passed","Thu Jan 26 11:10:17 BRT 2023","Thu Jan 26 11:10:47 BRT 2023","29777","","EVEX7 test","","","","RH - Solicitar Contratação QATESTER",""
"passed","Thu Jan 26 10:59:46 BRT 2023","Thu Jan 26 10:59:55 BRT 2023","8628","EVEX7 test","Menu ação","","","","Regional - Menu Ações - editar",""
"passed","Thu Jan 26 11:02:35 BRT 2023","Thu Jan 26 11:02:42 BRT 2023","7655","EVEX7 test","Menu Acoes","","","","Associado Consultar - editar",""
"passed","Thu Jan 26 11:08:26 BRT 2023","Thu Jan 26 11:08:35 BRT 2023","8570","EVEX7 test","Cadastrar nova Meta Comercial","","","","Cadastro - Consultor - Meta Comercial - Ação Novo - Alex Antonio dos Santos",""
"passed","Thu Jan 26 11:08:11 BRT 2023","Thu Jan 26 11:08:17 BRT 2023","5812","EVEX7 test","Ações Basicas","","","","Cdastro - Consultor - Meta Comercial - Limpar",""
"passed","Thu Jan 26 11:11:28 BRT 2023","Thu Jan 26 11:11:53 BRT 2023","24934","","EVEX7 test","","","","RH - Solicitar Desligamento Gonzaga",""
"passed","Thu Jan 26 11:07:25 BRT 2023","Thu Jan 26 11:07:35 BRT 2023","9605","EVEX7 test","Menu Ações","","","","Cadastro - Consultor - Gerenciar Consultores - Acoes - Solicitar Atualizacao de Dados",""
"broken","Thu Jan 26 08:38:20 BRT 2023","Thu Jan 26 08:38:20 BRT 2023","0","","cypress/e2e/solicitacoes/consultoria-juridica.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/solicitacoes/consultoria-juridica.cy.js",""
"passed","Thu Jan 26 11:02:02 BRT 2023","Thu Jan 26 11:02:08 BRT 2023","5624","EVEX7 test","Menu Ação","","","","Teste Menu - Atualizacao Cadastral - Ações - Negar",""
"failed","Thu Jan 26 11:05:12 BRT 2023","Thu Jan 26 11:05:22 BRT 2023","10162","EVEX7 test","Menu Ações","","","","Menu Solicitações - Entrega Coleta - Ações - Alterar Situação",""
"passed","Thu Jan 26 11:06:08 BRT 2023","Thu Jan 26 11:06:17 BRT 2023","8960","EVEX7 test","Menu Ações","","","","Atualizacao Cadastral - Atualizar - Editar/Aprovar",""
"passed","Thu Jan 26 11:03:17 BRT 2023","Thu Jan 26 11:03:26 BRT 2023","8527","EVEX7 test","Menu Acoes","","","","Associado Consultar - Enviar SMS",""
"passed","Thu Jan 26 11:06:02 BRT 2023","Thu Jan 26 11:06:08 BRT 2023","6273","EVEX7 test","Menu Ações","","","","Atualizacao Cadastral - Atualizar",""
"passed","Thu Jan 26 11:02:14 BRT 2023","Thu Jan 26 11:02:21 BRT 2023","7224","EVEX7 test","Ações Basicas ","","","","Teste Menu - Associado Consultar Associado",""
"passed","Thu Jan 26 11:07:35 BRT 2023","Thu Jan 26 11:07:44 BRT 2023","8677","EVEX7 test","Menu Ações","","","","Cadastro - Consultor - Gerenciar Consultores - Acoes - Arquivos",""
